date,ticker,group,open,close,high,low,volume,ingest_date,ma30,ma30_slope_pct,ma30_slope_signal,ma30_slope_signal_confirmed,price_to_ma_pct,price_vs_ma_signal,price_vs_ma_breakout,price_vs_ma_signal_confirmed,bench_close,rs_ratio,rs_slope_pct,rs_slope_signal,rs_slope_signal_confirmed,recent_avg_vol,vol_factor,recent_max_vol,vol_rank_pct,up_week,vol_on_up,vol_on_down,accumulation_score,breakout_volume_ok,accumulation_confirmed,distribution_confirmed,stage_score_core,stage_label_core,stage_reason
2025-10-20,AAPL,Leader,255.6383089844,262.5666231599,265.0342419074,255.1837476362,253202889,2025-11-29,218.67873711700324,0.4546955332272557,flat,flat,20.069571747807714,above,false,above,677.25,0.3876952722922112,0.9826199309936889,rising,unconfirmed_rising,220352750.25,1.1490797764617418,675037558,0.37509452029630624,true,0,0,0,false,false,false,0.5499999999999999,Stage 3, |  |  | 
2025-10-27,AAPL,Leader,264.624637176,270.1093444325,277.052644147,264.3949588157,293563310,2025-11-29,221.42399310944327,0.6657952046500216,rising,unconfirmed_rising,21.987387472952403,above,false,above,682.06,0.39601991677051873,0.5391702795312635,rising,rising,239160643,1.2274733263700082,675037558,0.4348844097945732,true,0,0,0,false,false,false,0.6,Stage 1, |  |  | 
2025-11-03,AAPL,Leader,270.159296229,268.2111761652,273.1364233008,265.9933164003,241487127,2025-11-29,223.7813964101733,0.8226584150619328,rising,unconfirmed_rising,19.854098896402675,above,false,above,670.97,0.3997364653638762,0.7554286418443382,rising,rising,246172950,0.9809653213320148,675037558,0.357738801549765,false,0,0,0,false,false,false,0.6,Stage 1, |  |  | 
2025-11-10,AAPL,Leader,268.96,272.41,276.699,267.455,232952837,2025-11-29,226.31763042217,0.9538361247727569,rising,rising,20.36623019242907,above,false,above,671.93,0.40541425446103024,1.6087653677318334,rising,rising,255301540.75,0.9124615398546121,675037558,0.3450961124151258,true,0,0,0,false,false,false,0.9,Stage 2, |  |  | 
2025-11-17,AAPL,Leader,268.815,271.49,275.43,265.32,235974430,2025-11-29,228.41456530911668,1.035978170314191,rising,rising,18.85844478988839,above,false,above,659.03,0.4119539322944328,1.7180381123660156,rising,rising,250994426,0.9401580495656107,675037558,0.3495722974276344,false,0,0,0,false,false,false,0.9,Stage 2, |  |  | 
2025-11-24,AAPL,Leader,270.9,278.85,280.38,270.9,166067059,2025-11-29,230.88739658317337,1.116584047184975,rising,rising,20.7731578798191,above,false,above,683.39,0.4080393333235781,1.0494871867322302,rising,rising,219120363.25,0.7578805389735954,675037558,0.24601158414358923,true,0,0,0,false,false,false,0.9,Stage 2, |  |  | 
2025-06-09,ACHR,Leader,11.43,9.99,12.52,9.77,303668919,2025-11-29,9.058666666666666,3.1117914700004237,rising,rising,10.281130409184591,above,false,above,593.5983426473,0.01682956181354399,1.4380894255629848,rising,rising,185549581.25,1.6365917775414005,317672009,0.9559196605200428,false,0,1,0,true,false,false,0.9,Stage 2, |  |  | 
2025-06-16,ACHR,Leader,10.34,10.04,10.61,9.88,178408276,2025-11-29,9.192,2.485322896281805,rising,rising,9.225413402959083,above,false,above,592.6449232845,0.016941003973099562,-4.948891203341218,falling,unconfirmed_falling,186251865.25,0.9578871908774079,317672009,0.5616115708828473,true,0,0,0,false,false,false,0.7,Stage 1, |  |  | 
2025-06-23,ACHR,Leader,9.92,10.47,11.05,9.49,215965070,2025-11-29,9.222000000000001,1.890255963919773,rising,rising,13.532856213402725,above,false,above,613.21816278,0.0170738582701704,-1.432855365304698,falling,unconfirmed_falling,210514649.25,1.02589093333608,317672009,0.6798366361576414,true,0,0,0,false,false,false,0.7,Stage 1, |  |  | 
2025-06-30,ACHR,Leader,10.565,10.17,11.0599,9.81,160826006,2025-11-29,9.285,1.4615918021419216,rising,rising,9.531502423263326,above,false,above,623.6194661216,0.01630802204307225,-1.0564560086679795,falling,falling,214717067.75,0.7490136097948832,317672009,0.5062643274938334,false,0,0,0,false,false,false,0.7,Stage 1, |  |  | 
2025-07-07,ACHR,Leader,10.1,10.51,11.3,9.7602,160132712,2025-11-29,9.355666666666668,1.1125319693094677,rising,rising,12.3383332739516,above,false,above,621.9041984565,0.016899709032491984,-0.24023830644619176,flat,unconfirmed_flat,178833016,0.8954314789389897,317672009,0.5040819066938944,true,0,0,-0.125,false,false,false,0.7,Stage 1, |  |  | 
2025-07-14,ACHR,Leader,10.43,13.29,13.73,10.13,290689610,2025-11-29,9.482333333333333,0.9353841624963224,rising,rising,40.155376665377716,above,false,above,625.8533030809,0.021235008163378005,5.2353666704365756,rising,unconfirmed_rising,206903349.5,1.4049536206275868,317672009,0.9150620821616046,true,0,0,-0.125,true,false,false,0.7,Stage 1, |  |  | 
2025-07-21,ACHR,Leader,13.365,11.21,13.488,10.68,209865084,2025-11-29,9.483333333333333,0.633884537278791,rising,rising,18.20738137082603,above,false,above,635.3471101578,0.017643898619788784,0.8298146294107963,rising,unconfirmed_rising,205378353,1.021846172853475,317672009,0.6606344847965501,false,0,0,-0.125,false,false,false,0.7,Stage 1, |  |  | 
2025-07-28,ACHR,Leader,11.41,9.64,11.6,9.5603,138173219,2025-11-29,9.420999999999998,0.4315766644979316,flat,unconfirmed_flat,2.32459399214524,above,false,above,620.0094260356,0.015548150713835255,-1.7871854529807094,falling,unconfirmed_falling,199715156.25,0.6918514427970461,317672009,0.43495559912551185,false,0,0,-0.125,false,false,false,0.4,Stage 3, |  |  | 
2025-08-04,ACHR,Leader,9.74,9.72,10.63,9.55,137912207,2025-11-29,9.446,0.3467959073774897,flat,unconfirmed_flat,2.90069870844803,above,false,above,635.4268900492,0.015296803066120475,-1.2401491416690187,falling,unconfirmed_falling,194160030,0.7103017392405636,317672009,0.4341339592182955,true,0,0,0,false,false,false,0.4,Stage 3, |  |  | 
2025-08-11,ACHR,Leader,9.895,9.82,10.578,9.12,188213661,2025-11-29,9.479333333333335,0.2643674065628677,flat,flat,3.5937829664533254,above,false,above,641.6696665515,0.015303824556294268,-1.8886531988561592,falling,falling,168541042.75,1.116723012561283,317672009,0.5924779510554863,true,0,0,0,false,false,false,0.5499999999999999,Stage 3, |  | ma~ price~ rs↓ vol↓ | 
2025-08-18,ACHR,Leader,10,9.67,10.2301,8.86,124026358,2025-11-29,9.469333333333335,-0.02741941153724075,flat,flat,2.1191213742607533,above,false,above,643.534521513,0.015026388914249813,-5.847531775227293,falling,falling,147081361.25,0.8432500008562438,317672009,0.39042268278663483,false,0,0,0,false,false,false,0.5499999999999999,Stage 3, |  | ma~ price~ rs↓ vol↓ | 
2025-08-25,ACHR,Leader,9.53,8.95,9.6299,8.86,107897306,2025-11-29,9.452666666666667,-0.06467486818980331,flat,flat,-5.317723393751337,below,false,unconfirmed_below,643.2752368659,0.013913173533004747,-4.2289124044272,falling,falling,139512383,0.7733887392633814,317672009,0.3396500256338291,false,0,0,0,false,false,false,0.25,Stage 4, |  |  | 
2025-09-01,ACHR,Leader,8.61,8.5,8.7999,8.165,80874350,2025-11-29,9.43533333333333,0.03042847539185456,flat,flat,-9.91309263053767,below,false,unconfirmed_below,645.4592113931,0.013168918887460572,-3.0604692097016586,falling,falling,125252918.75,0.6456883464841413,317672009,0.25458443837902006,false,0,0,0,false,false,false,0.25,Stage 4, |  |  | 
2025-09-08,ACHR,Leader,8.58,8.75,8.8,8.215,107969364,2025-11-29,9.381999999999998,-0.13550709294940047,flat,flat,-6.736303560008507,below,false,below,655.6012300876,0.013346527734291841,-2.549912322723334,falling,falling,105191844.5,1.026404323578526,317672009,0.3398768570761927,true,0,0,0,false,false,false,0.25,Stage 4, |  |  | 
